hospital,type,gpr,npr,charity.care,bad.debt,tot.uncomp.care,tot.op.rev,tot.op.exp,net.non.op.rev,net.income,op.income,op.margin,tot.margin,other.op.rev
Adventist Medical Center,DRG,514922944,198294250,14914514,16304817,31219331,232105129,219192753,0,12912376,12912376,5.56315840827455%,5.56315840827455%,
Ashland Community Hospital,B,78888803,44009063,1288687,1914316,3203003,44684755,45136025,953854,502584,-451270,-1.00989699954716%,1.10122549966411%,
Bay Area Hospital,DRG,227398608,103627817,7541504,6733489,14274993,105030462,103429753,2904488,4505197,1600709,1.52404261537001%,4.17399276138081%,
Blue Mountain Hospital,A,15157963,12528302,198857,411604,610461,12828441,13535222,921391,214610,-706781,-5.50948474565226%,1.56081907037119%,
Columbia Memorial Hospital,B,66762977,39344188,1194573,3177935,4372508,40064382,37950993,1086540,3199929,2113389,5.27498215247648%,7.77608093446849%,
Coquille Valley Hospital,B,16003983,11258815,81000,606958,687958,11664979,11103884,702865,1263960,561095,4.81008152693631%,10.2197278684951%,
Cottage Grove Community Hospital*,B,19024529,12792646,817061,1207093,2024154,12792646,12910628,0,-117983,-117983,-0.922272061620403%,-0.922272061620403%,
Curry General Hospital,A,24353354,13965501,553474,1145046,1698520,15294641,15502286,274009,66364,-207645,-1.35763238901783%,0.439875506031817%,
Good Samaritan Regional Medical Center (Corvallis),DRG,385049406,213136011,5709136,6962422,12671558,215381031,207765194,1152572,8768410,7615838,3.53598363079616%,4.049445387929%,
Good Shepherd Medical Center,A,70898438,43864655,1769337,4107801,5877138,44922328,38154818,1208871,7976381,6767510,15.0649138219195%,17.290643150203%,
Grande Ronde Hospital,A,54641842,37646310,1488773,2030810,3519583,38067969,36140958,2780532,4707543,1927011,5.06202734377555%,11.5243959625348%,
Harney District Hospital,A,14541116,11920641,146517,776188,922705,12050998,12637771,1417349,830576,-586773,-4.86908221211223%,6.16687407890515%,
Holy Rosary Medical Center    ,A,106982171,47041591,1878573,5484189,7362762,48899884,49848593,1606922,658213,-948709,-1.94010480679259%,1.30321644176034%,
Lake District Hospital,A,15642701,12178237,87490,528388,615878,12256881,12529405,1029365,756841,-272524,-2.22343677808408%,5.69642470867994%,
Legacy Emanuel Hospital,DRG,877486682,419096717,62344374,18674294,81018668,433894969,425946407,5470890,13419452,7948562,1.83190923331494%,3.05427736933015%,
Legacy Good Samaritan Hospital and Medical Center,DRG,474595101,234353813,24349577,6592045,30941622,237387539,229113747,8013428,16287220,8273792,3.48535227874787%,6.63698281188925%,
Legacy Meridian Park Hospital,DRG,254535751,118580398,9060429,5261230,14321659,119339396,102165448,9211850,26385798,17173948,14.390845417049%,20.5255093365645%,
Legacy Mt. Hood Medical Center,DRG,154132416,64228503,13296005,6090794,19386799,64554792,61746329,424728,3233191,2808463,4.35051049347351%,4.97570773068191%,
Lower Umpqua Hospital,B,25255263,16025063,430356,953558,1383914,16329505,17564717,1560507,325295,-1235212,-7.5642954272037%,1.81830509672101%,
McKenzie-Willamette Medical Center,DRG,198431941,87100227,3363139,11087360,14450499,88995179,89983108,1824518,836589,-987929,-1.11009271637063%,0.9211537008321%,
Mercy Medical Center,DRG,360034750,129254381,15035193,17569346,32604539,134705946,132210233,2293854,4789567,2495713,1.85271183203747%,3.49603941027651%,
Sky Lakes Medical Center,DRG,277627598,129833916,7939065,10517238,18456303,134277657,136262916,6911739,4926480,-1985529,-1.47867414755383%,3.48927053983573%,
Mid-Columbia Medical Center,B,129652278,61132433,4607716,3380723,7988439,63768084,62877174,79304,970215,890911,1.39711113164385%,1.51958448167057%,
Mountain View Hospital,B,26777318,17834383,441641,1950474,2392115,19168761,19593672,433122,8211,-424911,-2.21668474034394%,0.0418888328228467%,
OHSU Hospital,DRG,1346115235,727650000,37600889,33786553,71387442,772484000,755150000,10567000,27900737,17334000,2.2439299713651%,3.56308043792805%,
Peace Harbor Hospital,B,68108222,44241068,5097694,1350967,6448661,44589333,43863329,449954,1175958,726004,1.62820107670146%,2.61096051542734%,
Pioneer Memorial Hospital (Heppner),A,5254623,5027878,158224,137711,295935,5209598,5473461,921970,658107,-263863,-5.06493975158928%,10.7330946994309%,
Pioneer Memorial Hospital (Prineville),B,30569274,20966471,404551,1782717,2187268,21533807,21053306,465163,945664,480501,2.23137970912436%,4.29867398337286%,
Providence Hood River Memorial Hospital,B,82303268,49879971,4130208,758392,4888600,50406104,44159095,5557189,11804198,6247009,12.3933581536077%,21.0927509215728%,
Providence Medford Medical Center,DRG,322614997,124970127,27817649,5693105,33510754,131318604,126087660,1321866,6552810,5230944,3.98339903156448%,4.94027953911804%,
Providence Milwaukie Hospital,DRG,136676104,68816739,11232607,3147221,14379828,69589665,67085157,1825509,4330017,2504508,3.59896544982649%,6.06316103073557%,
Providence Newberg Hospital,B,111799829,60974967,5102971,2297172,7400143,63512123,59259556,-3703,4248864,4252567,6.69567761102868%,6.69023729451937%,
Providence Portland Medical Center,DRG,919017293,469736707,55966873,10275132,66242005,498922279,472598615,34718458,61042122,26323664,5.27610513861218%,11.4388047552674%,
Providence Seaside Hospital,B,57058040,32871065,3714591,1733855,5448446,33465741,34129605,1041771,377907,-663864,-1.98371223873393%,1.09514415296009%,
Providence St. Vincent Medical Center,DRG,1190847557,620845081,56540296,10961102,67501398,639076788,581448042,72726012,130354758,57628746,9.01749947457018%,18.3133247017292%,
Rogue Valley Medical Center,DRG,561376155,255841821,22289558,9081006,31370564,267995931,261373636,22280,6644575,6622295,2.47104311445684%,2.47915056786943%,
