hospital,type,gpr,npr,charity.care,bad.debt,tot.uncomp.care,tot.op.rev,tot.op.exp,op.income,op.margin,net.non.op.rev,net.income,tot.margin,other.op.rev
Blue Mountain Hospital,A,17175663,13674640,336943,553932,890875,13914975,15428678,-1513703,-10.8782301082108%,822738,-690965,-4.96562156956804%,
Curry General Hospital,A,32742995,18789497,350998,1384822,1735820,20226657,19761111,465546,2.30164579346948%,490490,956036,4.72661399261381%,
Good Shepherd Medical Center,A,103490163,70556152,4924211,6104182,11028393,72645365,62950186,9695179,13.3459016965501%,-2641870,7053309,9.70923471855362%,
Grande Ronde Hospital,A,67545200,48196797,2498250,2092357,4590607,48659126,48455745,203381,0.417970926974726%,-4627753,-4424372,-9.09258419479216%,
Harney District Hospital,A,15303307,13255802,398635,544406,943041,13445220,15049792,-1604572,-11.9341446253762%,259138,-1345434,-10.006783079786%,
Holy Rosary Medical Center    ,A,113800958,56881000,3881849,4267000,8148849,58598000,56981000,1617000,2.75947984572852%,-1238000,379000,0.646779753575207%,
Lake District Hospital,A,16421828,12340776,303332,778048,1081380,12417824,13512996,-1095172,-8.81935514628006%,960451,-134721,-1.08490022084385%,
Pioneer Memorial Hospital (Heppner),A,6390977,5500876,161464,239408,400872,5671798,6766853,-1095055,-19.307016928318%,707900,-387155,-6.82596594589582%,
St. Anthony Hospital,A,76553000,45246000,3667000,3101000,6768000,47054000,42204000,4850000,10.3073064989161%,-6838000,-1988000,-4.2249330556382%,
St. Elizabeth Health Services,A,42206040,27089386,1035477,1995228,3030705,27254942,26948466,306476,1.12447863583786%,-52203,254273,0.932942730166147%,
Tillamook County General Hospital,A,68462495,44141192,5745013,1071768,6816781,44670233,43220565,1449668,3.24526626042%,1537394,2987062,6.6869183332892%,
Wallowa Memorial Hospital,A,17798163,13578678,257838,253488,511326,13821092,14812642,-991550,-7.17417986943434%,610461,-381089,-2.75730021911438%,
Ashland Community Hospital,B,95385130,49820072,1520550,1406251,2926801,50262893,53314575,-3051682,-6.0714412121085%,689060,-2362622,-4.70052927514538%,
Columbia Memorial Hospital,B,88296098,52886494,1541993,4803931,6345924,53955054,52589983,1365071,2.53001507514013%,1411694,2776765,5.14644096176792%,
Coquille Valley Hospital,B,20397726,13868703,346338,732596,1078934,14348199,13318589,1029610,7.17588318924208%,620627,1650237,11.5013528875645%,
Cottage Grove Community Hospital,B,22975528,15272910,1451218,1765598,3216816,15284678,15947751,-663073,-4.3381548502363%,0,-663073,-4.3381548502363%,
Lower Umpqua Hospital,B,24568359,16560773,402382,1058042,1460424,18068183,19708323,-1640140,-9.07750380876705%,1546244,-93896,-0.519675940851385%,
Mid-Columbia Medical Center,B,160304052,80261866,6542186,4845350,11387536,82857494,78849628,4007866,4.8370591560493%,217063,4224929,5.09903063203915%,
Mountain View Hospital,B,39274270,22474180,1660525,1571309,3231834,23962180,23579404,382776,1.59741726337086%,-135105,247671,1.03359126757248%,
Peace Harbor Hospital,B,77265184,52439645,5767190,1850308,7617498,52810175,51765811,1044364,1.97758102486879%,-288693,755671,1.43091932567919%,
Pioneer Memorial Hospital (Prineville),B,32864480,23344916,1490000,1433558,2923558,23493771,22354637,1139134,4.84866392883458%,198231,1337365,5.69242374925677%,
Providence Hood River Memorial Hospital,B,101473003,63094010,8073885,1505070,9578955,63765443,57191601,6573842,10.30941163539%,-63177,6510665,10.2103344596853%,
Providence Newberg Hospital,B,151088986,80880844,12430229,4009643,16439872,83548418,76674518,6873900,8.22744483324627%,-29947,6843953,8.19160094689046%,
Providence Seaside Hospital,B,71081188,40497133,7676977,1601851,9278828,41386662,41313998,72664,0.175573473405514%,-33190,39474,0.0953785545691025%,
Samaritan Lebanon Community Hospital,B,127749878,71232497,7184979,2403027,9588006,72821210,70579872,2241338,3.07786426509529%,525391,2766729,3.79934499852447%,
Samaritan North Lincoln Hospital,B,77426346,44218457,3561519,2152949,5714468,46311446,45184027,1127419,2.4344284132264%,133553,1260972,2.72280852556407%,
Samaritan Pacific Communities Hospital,B,102126591,58312961,4323159,2054163,6377322,60159979,60280466,-120487,-0.20027766299586%,215113,94626,0.157290613415939%,
Santiam Memorial Hospital,B,45881760,28155290,941466,2922626,3864092,28509061,26700165,1808896,6.34498624840713%,183709,1992605,6.98937436066379%,
Silverton Hospital,B,166445887,85618517,10441643,4888030,15329673,89680733,86723699,2957034,3.29729017714429%,199529,3156563,3.51977832295372%,
Southern Coos Hospital & Health Ctr,B,18837406,13848435,291314,1344141,1635455,13868596,14484111,-615515,-4.43819258993484%,852881,237366,1.71153590457174%,
St. Charles Medical Ctr (Redmond),B,86911661,53938832,4615000,4496836,9111836,55196609,51406939,3789670,6.8657659748627%,271782,4061452,7.35815491853857%,
