hospital,charity.care,bad.debt,tot.uncomp.care,type,gpr,npr,tot.op.rev,tot.op.exp,other.op.rev,op.income,op.margin,net.non.op.rev,net.income,tot.margin
Adventist Medical Center,21975290,17860271,39835561,DRG,573592001,244879184,272020241,271639001,27141057,381240,0.14%,0,381240,0.14%
Ashland Community Hospital,1442799,1854655,3297454,B,92674394,47921914,48755162,47583262,833248,1171900,2.4%,845109,2017009,4.13%
Bay Area Hospital,7783443,9764645,17548088,DRG,275932913,123315410,125014030,119766156,1698620,5247874,4.19%,5139260,10387134,8.3%
Blue Mountain,387048,852645,1239693,A,19093479,14507391,14737384,15995044,229993,-1257660,-8.53%,873179,-384481,-2.61%
Columbia Memorial Hospital,2002583,4777989,6780572,B,98741352,58882182,59787270,56844321,905088,2942949,4.92%,1305762,4248710,7.1%
Coquille Valley Hospital,169174,1344061,1513235,B,21318764,14361909,14765441,13654753,403532,1110688,7.52%,562520,1673208,11.33%
Cottage Grove Community Hospital,1854932,1954592,3809524,B,23455805,18441261,18541537,20462410,100276,-1920873,-10.35%,0,-1920873,-10.35%
Curry General Hospital,461152,1595581,2056733,A,37081387,22203359,22379967,22932214,176608,-552247,-2.46%,653476,101229,0.45%
Good Samaritan Hospital Corvallis,19751468,9160625,28912093,DRG,541690597,290527611,299098608,296749483,8570997,2349124,0.79%,506559,2855684,0.95%
Good Shepherd Medical Center,5283254,6039214,11322468,A,111936805,76715298,78565075,67357808,1849777,11207267,14.26%,1329704,12536971,15.95%
Grande Ronde Hospital,3436988,2807832,6244820,A,72729226,51348800,51881031,52746746,532231,-865715,-1.66%,4318510,3452795,6.66%
Harney District Hospital,154685,980231,1134916,A,17551692,13622462,13793884,14323003,171422,-529119,-3.83%,340406,-188713,-1.36%
Lake District Hospital,241222,750752,991974,A,16500977,13066608,13129866,14155971,63258,-1026105,-7.81%,822279,-203826,-1.55%
Legacy Emanuel Hospital,73503905,24344928,97848833,DRG,1092956992,515212539,542550283,547717041,27337744,-5166758,-0.95%,18705160,13538402,2.5%
Legacy Good Samaritan Hospital,34347385,10466941,44814326,DRG,606891581,282590284,286042462,274095985,3452178,11946477,4.18%,16076200,28022677,9.79%
Legacy Meridian Park Medical Center,13713784,8134141,21847925,DRG,327902096,154924446,155715875,136150462,791429,19565413,12.56%,20753197,40318610,25.89%
Legacy Mount Hood Medical Center,20857639,9961830,30819469,DRG,226990053,96291490,96698796,92915514,407306,3783282,3.91%,2488072,6271354,6.48%
Lower Umpqua Hospital District,389291,1385442,1774733,B,24642835,16305816,17938910,19503041,1633094,-1564131,-8.71%,1589354,105281,0.58%
McKenzie-Willamette Medical Center,3584627,12203336,15787963,DRG,291004865,118072158,120247258,103350229,2175100,16897029,14.05%,1229265,15667764,13.02%
Mercy Medical Center,17587556,21358843,38946399,DRG,415144773,161267190,164431794,153673417,3164605,10758377,6.5%,2833874,13592251,8.1%
Mid Columbia Medical Center,8145469,5937141,14082610,B,176384542,81106234,83787479,81564646,2681245,2222834,2.65%,1541415,3764249,4.49%
Mountain View Hospital District,1148970,3086884,4235854,B,41944019,22779177,24201515,24921067,1422338,-719552,-2.97%,442606,-674345,-2.79%
Oregon Health Science University,71969749,47898253,119868002,DRG,1917650898,993366929,1057537280,995102886,64170351,62434394,5.9%,12586506,75020900,7.09%
Peace Harbor Hospital,6493419,1613365,8106784,B,79656951,55060655,55060655,53742882,304882,1317773,2.39%,423529,1741302,3.16%
Pioneer Memorial Hospital (Heppner),112913,210948,323861,A,6770435,5887641,6095889,7059017,208248,-963128,-15.79%,1163923,200795,3.29%
Pioneer Memorial Prineville,1744349,1119346,2863695,B,33336689,22230175,22358169,21616829,127994,741340,3.31%,203079,944419,4.22%
Providence Hood River Memorial Hospital,7141605,1252324,8393929,B,99292675,62575723,63123653,62883223,547930,240430,0.38%,229922,470352,0.74%
Providence Medford Medical Center,27277321,5718727,32996048,DRG,396784173,156348469,160912891,150729384,4564421,10183506,6.32%,1693578,11877085,7.38%
Providence Milwaukie Hospital,14078805,5211615,19290420,DRG,172028985,90768956,91597117,83564077,828161,8033040,8.76%,1635948,9668988,10.55%
Providence Newberg Medical Center,10547502,3873911,14421413,B,160861696,85559523,88364146,84609748,2804623,3754398,4.24%,97461,3851858,4.35%
