hospital,type,gpr,npr,charity.care,bad.debt,tot.uncomp.care,tot.op.rev,tot.op.exp,other.op.rev,op.income,op.margin,net.non.op.rev,net.income,tot.margin
Adventist Medical Center,,647839769,267487663,19479153,21351803,40830956,294727827,288144525,27240164,6583000,2.43%,0,6583000,2.43%
Ashland Community Hospital,,93312248,49182455,1609015,1541315,3150330,49799396,50609649,616941,-810253,-1.63%,274838,-535415,-1.08%
Bay Area Hospital,,277012923,119892151,7719052,10414884,18133936,121475295,120590244,1583144,885051,0.73%,1885004,2770055,2.28%
Blue Mountain,,19431798,15758085,369999,641672,1011671,16046165,17557866,288080,-1511701,-9.42%,1009116,-502585,-3.13%
Columbia Memorial Hospital,,111778936,66254871,2261310,4838794,7100104,68434858,64060872,2179987,4373986,6.39%,-214525,4159461,6.08%
Coquille Valley Hospital,,23546390,14751760,309564,2222130,2531694,15132173,14332834,380413,799339,5.28%,600489,1399828,9.25%
Cottage Grove Community Hospital,,32700084,27610255,1902747,1552352,3455099,27737399,28035878,127144,-298479,-1.08%,-83761,-382240,-1.38%
Curry General Hospital,,39317627,21902334,479356,1953652,2433008,23208357,24340791,430221,-1132434,-4.88%,164940,-967494,-4.17%
Good Samaritan Hospital Corvallis,,594370289,305931903,21840596,9747456,31588052,314933774,317548266,9001870,-2614492,-0.83%,642067,-1972425,-0.63%
Good Shepherd Medical Center,,120034201,79253493,7725064,4978778,12703842,81074178,69895807,1817039,11178371,13.79%,2300981,13479352,16.63%
Grande Ronde Hospital,,87784435,59484138,4382888,2991162,7374050,60035084,57208082,550946,2827002,4.71%,2502962,5329964,8.88%
Harney District Hospital,,17153463,13984826,161052,960563,1121615,14257432,14442220,272606,-184788,-1.3%,41002,-143786,-1.01%
Lake District Hospital,,18959019,14992913,250436,637157,887593,15072837,15920481,79924,-847644,-5.62%,616965,-230679,-1.53%
Legacy Emanuel Hospital,,1161755000,541905000,85866000,24218000,110084000,558615000,561178000,16710000,-2563000,-0.46%,13584000,11021000,1.97%
Legacy Good Samaritan Hospital and Medical Center,,610125000,275834000,35236000,5886000,41122000,279339000,270508000,3505000,2945000,1.08%,11224000,14169000,5.18%
Legacy Meridian Park Medical Center,,352177000,159047000,16862000,5099000,21961000,159784000,142510000,737000,17274000,10.81%,14583000,31857000,19.94%
Legacy Mount Hood Medical Center,,248165000,102043000,24550000,8215000,32765000,102442000,97012000,399000,5430000,5.3%,1903000,7333000,7.16%
Lower Umpqua Hospital District,,24917750,15193142,194265,1382214,1576479,17209441,18200899,2016299,-991458,-5.76%,1597890,606432,3.52%
McKenzie-Willamette Medical Center,,329727741,114955307,3623473,11883894,15507367,116123254,94462224,1167947,21661030,18.65%,-1378911,20282119,17.47%
Mercy Medical Center,,460292525,177834497,13416283,24436855,37853138,181097495,167167274,3262998,13930221,7.69%,8127831,22058052,12.18%
Mid Columbia Medical Center,,174995395,84749542,5849393,5133515,10982908,88427530,81848708,3677988,6578822,7.44%,14609,6593431,7.46%
Mountain View Hospital District,,42623478,23935312,820919,2787105,3608024,25135915,24584587,1200603,551328,2.19%,312950,864278,3.44%
Oregon Health Science University,,2071507099,1032907280,75949851,40933991,116883842,1074979558,1012447168,42072278,62532390,5.82%,7902599,70434989,6.55%
Peace Harbor Hospital,,84480168,55796935,6173316,1925275,8098591,56225258,57350583,428323,-1125325,-2%,606013,-519312,-0.92%
Pioneer Memorial Hospital (Heppner),,6967570,5869527,160832,228418,389250,6179567,7251644,310040,-1072077,-17.35%,1250748,178671,2.89%
Pioneer Memorial Prineville,,41110109,26277450,1243305,1815428,3058733,26429358,27381523,151908,-952165,-3.6%,81393,-870772,-3.29%
Providence Hood River Memorial Hospital,,100296691,64162694,5166459,1210311,6376770,65255235,64431927,1092541,823308,1.26%,232523,1055831,1.62%
Providence Medford Medical Center,,411500642,165558121,21643822,4533548,26177370,171409197,158429315,5851077,12979882,7.57%,3245030,16224912,9.47%
Providence Milwaukie Hospital,,176771351,93737459,11278686,4349890,15628576,95199942,87415868,1462483,7784074,8.18%,2832014,10616088,11.15%
Providence Newberg Medical Center,,163514414,89032675,8469612,3305219,11774831,92527219,88393031,3494544,4134188,4.47%,98402,4232590,4.57%
Providence Portland Medical Center,,1158312860,607494171,54877632,14271979,69149611,649286993,626457691,41792823,22829302,3.52%,8263829,31093131,4.79%
Providence Seaside Hospital,,78374425,45073397,5403213,1529557,6932770,45885593,47003680,812196,-1118087,-2.44%,109233,-1008854,-2.2%
Providence St Vincent Medical Center,,1334302973,749753505,53780730,12618651,66399381,766381757,698766003,16628252,67615754,8.82%,27351307,94967061,12.39%
Providence Willamette Falls,,173264537,90689499,7900099,4763969,12664068,95119208,99729824,4429708,-4610616,-4.85%,-1379446,-5990062,-6.3%
Rogue Valley Medical Center,,836304408,351989406,37733938,5893378,43627316,363356303,343405823,11366897,19950480,5.49%,-3149946,16800534,4.62%
Sacred Heart Medical Center RiverBend,,1002542275,519062709,48590185,20724562,69314747,523843685,496078811,4780976,27764874,5.3%,-1150935,26613939,5.08%
Sacred Heart Medical Center University District,,148428014,85893948,10314483,6134801,16449284,88591308,98087584,2697359,-9496276,-10.72%,-191406,-9687682,-10.94%
Saint Alphonsus Baker City,,50660923,28499331,1516186,2165200,3681386,28630078,27989911,130747,640167,2.24%,578952,1219119,4.26%
Saint Alphonsus Ontario,,125873000,58600000,4826000,3610000,8436000,60628000,58592000,1938000,2036000,3.36%,2386000,4422000,7.29%
Salem Hospital,,1075300515,556069208,49325613,33668797,82994410,577959819,556247974,21891611,21711845,3.76%,2191596,23903441,4.14%
Samaritan Albany General Hospital,,207399366,108308763,7968718,5734460,13703178,117439958,111620447,9131195,5819511,4.96%,376647,6196158,5.28%
Samaritan Lebanon Community Hospital,,150815864,77541029,5460166,7603396,13063562,79251008,75984150,1709979,3266858,4.12%,565243,3832101,4.84%
Samaritan North Lincoln Hospital,,75841680,41487120,2250009,4212787,6462796,43240046,43611366,1752927,-371320,-0.86%,63688,-307632,-0.71%
Samaritan Pacific Community Hospital,,113711201,61560788,3791335,4508790,8300125,63924023,64609584,2363235,-685561,-1.07%,5837494,5151933,8.06%
Santiam Memorial Hospital,,58396362,33734275,1283615,3235109,4518724,35395436,31128714,224448,4266722,12.05%,63175,4329897,12.23%
Silverton Hospital,,191545397,97666247,11530916,5457245,16988161,101973849,99663244,4008814,2310605,2.27%,637827,2948432,2.89%
Sky Lakes Medical Center,,365906118,166677792,11867802,11696879,23564681,172322702,160314920,5644910,12007782,6.97%,921326,12929108,7.5%
Southern Coos Health District,,20562403,15281905,342987,1414431,1757418,15373122,15864528,91217,-491406,-3.2%,875466,384060,2.5%
St Anthony Hospital,,92616753,53684959,4705224,4243965,8949189,54350268,46413831,665309,7936437,14.6%,10138184,18074621,33.26%
St Charles Medical Center Bend,,708243488,345811631,22140629,19030977,41171606,377126052,360902506,31314422,16223546,4.3%,-2029133,14194413,3.76%
St Charles Medical Center Redmond,,104636254,63831675,4413330,4081595,8494925,70149833,64774403,6318157,5375430,7.66%,-466059,4909371,7%
Three Rivers Community Hospital,,352393646,135820613,21427439,2848002,24275441,137792315,127655241,1971702,10137074,7.36%,-1224980,8912094,6.47%
Tillamook County General Hospital,,82858403,52930621,5845537,1219404,7064941,52332549,51494428,621333,838121,1.6%,1704639,2542760,4.86%
Tuality Healthcare,,370619876,170848900,9398515,15380500,24779015,178290300,175492100,7441400,2798200,1.57%,-8588300,-5790100,-3.25%
Wallowa Memorial Hospital,,20718679,15277047,388757,454669,843426,15592136,16328771,315089,-736635,-4.72%,597864,-138771,-0.89%
West Valley Hospital,,36432504,23234524,1936309,2472956,4409265,23482641,21974049,248117,1508592,6.42%,1627,1510219,6.43%
Willamette Valley Medical Center,,266999111,93310252,887428,6468745,7356173,93978247,66193208,667995,27785039,29.57%,-11950738,15834301,16.85%
