hospital,type,gpr,npr,other.op.rev,tot.op.rev,tot.op.exp,op.income,op.margin,net.non.op.rev,net.income,tot.margin,charity.care,bad.debt,tot.uncomp.care
Adventist Medical Center,DRG,824695986,303711223,48935012,352646235,347181893,5464342,1.54952512111748%,0,5464342,1.54952512111748%,18847471,4502325,23349797
Asante Rogue Regional Medical Center,DRG,1142227320,407824888,10234376,418059264,373218246,44841019,10.7259957765222%,-19662,44821357,10.7217968789474%,22987019,7437055,30424074
Asante Three Rivers Medical Center,DRG,426262133,129924148,2060839,131984987,124381107,7603880,5.76117039735739%,0,7603880,5.76117039735739%,13062628,4615492,17678120
Ashland Community Hospital,B,97527699,44166663,512774,44679437,50277886,-5598449,-12.5302586064368%,11419,-5587031,-12.5015081384881%,1043002,2467485,3510487
Bay Area Hospital,DRG,340959245,141025814,1494962,142520776,137861117,4659659,3.26945946463272%,991115,5650774,3.93749532573576%,3032408,8984596,12017004
Blue Mountain Hospital,A,23612838,15763116,502464,16265580,17702937,-1437357,-8.83680139287993%,881458,-555899,-3.24195350823857%,278579,880959,1159538
Columbia Memorial Hospital,B,147894222,75819625,2794047,78613672,74696756,3916916,4.98248701574454%,863309,4780225,6.01460314653875%,1139916,3485540,4625456
Coquille Valley Hospital,B,37526915,22767964,694667,23462631,22624580,838051,3.57185432443616%,-135707,702344,3.01087275801987%,232984,2600000,2832984
Curry General Hospital,A,41285932,27371141,1009529,28380670,28092896,287774,1.01397888069591%,-279892,7882,0.0280490454748264%,860124,359172,1219296
Good Samaritan Regional Medical Center,DRG,648186521,312270629,10170966,322441595,330158917,-7717322,-2.39340150888411%,1290036,-6427286,-1.98537473157821%,7098677,6964144,14062821
Good Shepherd Medical Center,A,145884483,82617147,3002579,85619726,75506642,10113084,11.8116285492434%,3642329,13755413,15.4101460021282%,7411436,3268032,10679468
Grande Ronde Hospital,A,103100365,68226564,1299152,69525716,66001201,3524515,5.06936886489598%,2442665,5967180,8.29139118747162%,3437431,2639149,6076580
Harney District Hospital,A,24504805,17651564,1191553,18843117,19261647,-418530,-2.22112933863331%,138431,-280099,-1.47563834098252%,440415,1488678,1929093
Kaiser Sunnyside,DRG,N/A,N/A,N/A,534988198,502415146,32573052,6.08855524697014%,3493068,36066120,6.69774832983698%,4321056,3707649,8028705
Kaiser Westside Medical Center,DRG,N/A,N/A,N/A,182698021,172363696,10334325,5.65650626286751%,1283313,11617638,6.31457428175839%,1100743,1394438,2495181
Lake District Hospital,A,23759586,18827010,400549,19227559,19729558,-501999,-2.61083063117892%,1787517,1285518,6.11712277414557%,340794,710231,1051025
Legacy Emanuel Medical Center,DRG,1398325000,620665000,29135000,649800000,657348000,-7548000,-1.16158818097876%,8627000,1079000,0.163875418231634%,71768000,30287000,102055000
Legacy Good Samaritan Medical Center,DRG,679742000,278750000,6604000,285354000,274399000,10955000,3.83909109386937%,10410000,21365000,7.22366481383806%,27817000,7640000,35457000
Legacy Meridian Park Medical Center,DRG,449074000,185907000,2185000,188092000,173453000,14639000,7.78289347765987%,14929000,29568000,14.5640106195911%,15182000,8033000,23215000
Legacy Mt. Hood Medical Center,DRG,326155000,118458000,3814000,122272000,113507000,8765000,7.16844412457472%,1817000,10582000,8.52775024377664%,22374000,11408000,33782000
Lower Umpqua Hospital,B,26771378,16989314,2688503,19677817,21439242,-1761425,-8.95132320826035%,1721884,-39541,-0.18477360968735%,878833,377258,1256091
McKenzie-Willamette Medical Center,DRG,463049847,149763338,786498,150549836,114933120,35616716,23.6577580861662%,-8365596,27251120,19.1660622865094%,589782,6873992,7463774
Mercy Medical Center,DRG,525192000,184788000,11096000,195884000,177457000,18427000,9.4070980784546%,9318000,27745000,13.5208233837877%,10114000,7631000,17745000
Mid-Columbia Medical Center,B,230247210,106966794,5097986,112064780,109629062,2435718,2.17349108256849%,394172,2829890,2.51637593065957%,5994875,2022868,8017743
OHSU Hospital,DRG,2626647974,1294299461,48922075,1343221537,1249383966,93837571,6.98600851871243%,22511685,116349256,8.51917886493355%,69710175,45333052,115043227
PeaceHealth Cottage Grove Community Hospital,B,38864593,26275868,1222108,27497976,26633068,864908,3.14535149787024%,320916,1185824,4.26265718994128%,1193521,1624319,2817840
PeaceHealth Peace Harbor Hospital,B,94617810,64338227,3159916,67498143,65923171,1574972,2.33335604506927%,607624,2182596,3.20471539510009%,3239878,1441487,4681365
PeaceHealth Sacred Heart-Riverbend,DRG,1201334562,555540286,13216089,568756375,476531051,92225324,16.2152598289558%,3259719,95485043,16.6927196632338%,36294425,17201247,53495672
PeaceHealth Sacred Heart-University District,DRG,172217494,90685009,3344528,94029537,96229169,-2199632,-2.3392989800641%,730218,-1469414,-1.55067306790736%,7553177,5162579,12715756
Pioneer Memorial Hospital-Heppner,A,7643501,7221126,391334,7612460,8793030,-1180570,-15.5083901918696%,1499697,319127,3.50221138639293%,128587,124378,252965
Pioneer Memorial Hospital-Prineville,B,56948410,21919533,10419057,32338590,33611997,-1273407,-3.93773197903805%,65048,-1208359,-3.72908437009449%,1115794,507316,1623110
Providence Hood River Memorial Hospital,B,124574963,73215602,1204106,74419708,80009501,-5589793,-7.51117298122159%,457,-5589336,-7.51051277567041%,4244577,522634,4767212
Providence Medford Medical Center,DRG,494438084,176683458,5584801,182268259,182222330,45928,0.0251980241935597%,18372,64300,0.0352741172774212%,11606603,913479,12520082
Providence Milwaukie Hospital,DRG,191911246,91082774,1771688,92854462,94803001,-1948539,-2.09848720032431%,0,-1948539,-2.09848720032431%,5288577,1609012,6897589
Providence Newberg Medical Center,B,188050095,95188540,4056457,99244997,90599199,8645798,8.71157061952453%,0,8645798,8.71157061952453%,4951697,1425363,6377060
Providence Portland Medical Center,DRG,1221859686,608553018,56211270,664764289,676558362,-11794074,-1.77417382298645%,71734,-11722340,-1.76319266623132%,25308442,5140731,30449173
Providence Seaside Hospital,B,91601575,50706287,1354225,52060512,49658588,2401924,4.61371566994962%,0,2401924,4.61371566994962%,1931973,937022,2868995
Providence St. Vincent Medical Center,DRG,1471183464,789552296,15305643,804857939,738808427,66049512,8.20635652573218%,-195562,65853950,8.18404735729306%,32159628,5124906,37284534
Providence Willamette Falls Medical Center,DRG,227110075,115266404,1804663,117071067,114943131,2127936,1.81764466193855%,0,2127936,1.81764466193855%,3749065,2236814,5985879
Salem Hospital,DRG,1193546345,584345439,23379610,607725049,579743317,27981732,4.60434073699009%,30506018,58487750,9.16403995733414%,30423762,24726873,55150635
Samaritan Albany General Hospital,DRG,303243025,154478123,11777677,166255800,161655594,4600206,2.76694467200543%,497374,5097580,3.05696130257766%,4628512,2471059,7099571
Samaritan Lebanon Community Hospital,B,178778182,88173274,6016717,94189991,92695940,1494051,1.58620994028973%,854464,2348515,2.47096477116945%,3684161,2202768,5886929
Samaritan North Lincoln Hospital,B,85584698,45657152,2976565,48633718,48136249,497469,1.02288909928704%,74969,572438,1.17522773709749%,2336371,1504925,3841296
Samaritan Pacific Communities Hospital,B,145703920,72318243,3034207,75352450,73034952,2317498,3.07554432536699%,255724,2573222,3.40336482666543%,2723328,2206439,4929767
