hospital,year,uid,num years,comment
Adventist Medical Center,2006,1,9,
Adventist Medical Center,2007,1,9,
Adventist Medical Center,2008,1,9,
Adventist Medical Center,2009,1,9,
Adventist Medical Center,2010,1,9,
Adventist Medical Center,2011,1,9,
Adventist Medical Center,2012,1,9,
Adventist Medical Center,2013,1,9,
Adventist Medical Center,2014,1,9,
Rogue Valley Medical Center,2006,2,9,
Rogue Valley Medical Center,2007,2,9,
Rogue Valley Medical Center,2008,2,9,
Rogue Valley Medical Center,2009,2,9,
Rogue Valley Medical Center,2010,2,9,
Rogue Valley Medical Center,2011,2,9,
Asante Rogue Regional Medical Center,2012,2,9,
Asante Rogue Regional Medical Center,2013,2,9,
Asante Rogue Regional Medical Center,2014,2,9,
Three Rivers Community Hospital and Health Center,2006,3,9,
Three Rivers Community Hospital and Health Center,2007,3,9,
Three Rivers Comm Hos & Health Ctr,2008,3,9,
Three Rivers Community Hospital and Health Center,2009,3,9,
Three Rivers Community Hospital,2010,3,9,
Three Rivers Community Hospital,2011,3,9,
Asante Three Rivers Medical Center,2012,3,9,
Asante Three Rivers Medical Center,2013,3,9,
Asante Three Rivers Medical Center,2014,3,9,
Ashland Community Hospital,2006,4,9,
Ashland Community Hospital,2007,4,9,
Ashland Community Hospital,2008,4,9,
Ashland Community Hospital,2009,4,9,
Ashland Community Hospital,2010,4,9,
Ashland Community Hospital,2011,4,9,
Ashland Community Hospital,2012,4,9,
Ashland Community Hospital,2013,4,9,
Ashland Community Hospital,2014,4,9,
Bay Area Hospital,2006,5,9,
Bay Area Hospital,2007,5,9,
Bay Area Hospital,2008,5,9,
Bay Area Hospital,2009,5,9,
Bay Area Hospital,2010,5,9,
Bay Area Hospital,2011,5,9,
Bay Area Hospital,2012,5,9,
Bay Area Hospital,2013,5,9,
Bay Area Hospital,2014,5,9,
Blue Mountain Hospital,2006,6,9,
Blue Mountain Hospital,2007,6,9,
Blue Mountain Hospital,2008,6,9,
Blue Mountain Hospital,2009,6,9,
Blue Mountain,2010,6,9,
Blue Mountain,2011,6,9,
Blue Mountain Hospital,2012,6,9,
Blue Mountain Hospital,2013,6,9,
Blue Mountain Hospital,2014,6,9,
Columbia Memorial Hospital,2006,7,9,
Columbia Memorial Hospital,2007,7,9,
Columbia Memorial Hospital,2008,7,9,
Columbia Memorial Hospital,2009,7,9,
Columbia Memorial Hospital,2010,7,9,
Columbia Memorial Hospital,2011,7,9,
Columbia Memorial Hospital,2012,7,9,
Columbia Memorial Hospital,2013,7,9,
Columbia Memorial Hospital,2014,7,9,
Coquille Valley Hospital,2006,8,9,
Coquille Valley Hospital,2007,8,9,
Coquille Valley Hospital,2008,8,9,
Coquille Valley Hospital,2009,8,9,
Coquille Valley Hospital,2010,8,9,
Coquille Valley Hospital,2011,8,9,
Coquille Valley Hospital,2012,8,9,
Coquille Valley Hospital,2013,8,9,
Coquille Valley Hospital,2014,8,9,
Cottage Grove Community Hospital,2006,9,9,
Cottage Grove Community Hospital*,2007,9,9,
Cottage Grove Community Hospital*,2008,9,9,
Cottage Grove Community Hospital,2009,9,9,
Cottage Grove Community Hospital,2010,9,9,
Cottage Grove Community Hospital,2011,9,9,
PeaceHealth Cottage Grove Community Hospital,2012,9,9,
PeaceHealth Cottage Grove Community Hospital,2013,9,9,
PeaceHealth Cottage Grove Community Hospital,2014,9,9,
Curry General Hospital,2006,10,9,
Curry General Hospital,2007,10,9,
Curry General Hospital,2008,10,9,
Curry General Hospital,2009,10,9,
Curry General Hospital,2010,10,9,
Curry General Hospital,2011,10,9,
Curry General Hospital,2012,10,9,
Curry General Hospital,2013,10,9,
Curry General Hospital,2014,10,9,
Good Samaritan Regional Medical Center (Corvallis),2006,11,9,
Good Samaritan Regional Medical Center (Corvallis),2007,11,9,
Good Samaritan Regional Medical Corvalis,2008,11,9,
Good Samaritan Regional Medical Center (Corvallis),2009,11,9,
Good Samaritan Hospital Corvallis,2010,11,9,
Good Samaritan Hospital Corvallis,2011,11,9,
Good Samaritan Regional Medical Center,2012,11,9,
Good Samaritan Regional Medical Center,2013,11,9,
Good Samaritan Regional Medical Center,2014,11,9,
Good Shepherd Medical Center,2006,12,9,
Good Shepherd Medical Center,2007,12,9,
Good Shepherd Medical Center,2008,12,9,
Good Shepherd Medical Center,2009,12,9,
Good Shepherd Medical Center,2010,12,9,
Good Shepherd Medical Center,2011,12,9,
Good Shepherd Medical Center,2012,12,9,
Good Shepherd Medical Center,2013,12,9,
Good Shepherd Medical Center,2014,12,9,
Grande Ronde Hospital,2006,13,9,
Grande Ronde Hospital,2007,13,9,
Grande Ronde Hospital,2008,13,9,
Grande Ronde Hospital,2009,13,9,
Grande Ronde Hospital,2010,13,9,
Grande Ronde Hospital,2011,13,9,
Grande Ronde Hospital,2012,13,9,
Grande Ronde Hospital,2013,13,9,
Grande Ronde Hospital,2014,13,9,
Harney District Hospital,2006,14,9,
Harney District Hospital,2007,14,9,
Harney District Hospital,2008,14,9,
Harney District Hospital,2009,14,9,
Harney District Hospital,2010,14,9,
Harney District Hospital,2011,14,9,
Harney District Hospital,2012,14,9,
Harney District Hospital,2013,14,9,
Harney District Hospital,2014,14,9,
Holy Rosary Medical Center    ,2006,15,9,
Holy Rosary Medical Center    ,2007,15,9,
Holy Rosary Medical Center    ,2008,15,9,
Holy Rosary Medical Center    ,2009,15,9,
Saint Alphonsus Holy Rosary,2010,15,9,
Saint Alphonsus Ontario,2011,15,9,
St. Alphonsus Medical Center-Ontario,2012,15,9,
St. Alphonsus Medical Center-Ontario,2013,15,9,
St. Alphonsus Medical Center-Ontario,2014,15,9,
Kaiser Sunnyside,2012,16,3,opened in 1975 - why no reports before 2012?
Kaiser Sunnyside,2013,16,3,
Kaiser Sunnyside,2014,16,3,
Kaiser Westside Medical Center,2014,17,1,opened in 2013
Lake District Hospital,2006,18,9,
Lake District Hospital,2007,18,9,
Lake District Hospital,2008,18,9,
Lake District Hospital,2009,18,9,
Lake District Hospital,2010,18,9,
Lake District Hospital,2011,18,9,
Lake District Hospital,2012,18,9,
Lake District Hospital,2013,18,9,
Lake District Hospital,2014,18,9,
Legacy Emanuel Hospital,2006,19,9,
Legacy Emanuel Hospital,2007,19,9,
Legacy Emanuel Hospital,2008,19,9,
Legacy Emanuel Hospital,2009,19,9,
Legacy Emanuel Hospital,2010,19,9,
